Date of Birth,Gender,Location,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Duration,Age,Age Group,Engagement Metrics Numeric,Usage Frequency Numeric,Purchase History Numeric
2003-03-09,Female,Port Olivia,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.5,10,365 days,21,18-25,2,1.0,0
1968-09-05,Female,Port Lauramouth,Annual,Mastercard,Auto-renew,Occasional,Books,Action,Smartphone,Low,3.7,9,365 days,56,56-60,0,,0
1953-09-24,Female,Smithborough,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,Medium,3.9,4,365 days,71,61+,1,,0
1991-10-15,Female,Phillipsfurt,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,High,4.6,10,365 days,33,26-35,2,,2
1981-08-17,Female,Harrisshire,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3,365 days,43,36-45,1,1.0,1
1974-06-10,Male,South Williammouth,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Low,3.6,4,365 days,50,46-55,0,1.0,2
1948-06-30,Female,New Jonathan,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6,365 days,76,61+,0,1.0,1
1973-07-13,Female,Jennaburgh,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.6,10,365 days,51,46-55,2,0.0,1
2004-04-07,Female,Jonathanburgh,Annual,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,High,3.0,9,365 days,20,18-25,2,1.0,0
1946-02-17,Female,Jessicaborough,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,Low,3.4,0,365 days,78,61+,0,1.0,1
1947-08-03,Female,Kristenton,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9,365 days,77,61+,2,1.0,0
1937-01-29,Male,Garzafort,Monthly,Amex,Manual,Regular,Clothing,Action,Smartphone,Low,3.2,2,365 days,87,61+,0,0.0,2
1988-12-02,Male,South Leslie,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,Low,4.1,5,365 days,36,36-45,0,1.0,0
2004-10-07,Male,Williamport,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,Smartphone,High,3.1,7,365 days,20,18-25,2,0.0,1
1981-04-21,Male,South Beverlyton,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.5,4,365 days,43,36-45,1,0.0,1
1967-08-12,Male,Lake Rebecca,Annual,Amex,Manual,Frequent,Electronics,Drama,Tablet,Low,4.8,9,365 days,57,56-60,0,1.0,1
1938-02-23,Female,Tinaberg,Annual,Visa,Manual,Frequent,Books,Horror,Tablet,Medium,3.3,0,365 days,86,61+,1,1.0,0
1992-06-29,Female,Wongview,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.4,5,365 days,32,26-35,0,,2
1967-05-15,Female,Ramseymouth,Monthly,Mastercard,Manual,Regular,Books,Documentary,Smart TV,Medium,4.9,10,365 days,57,56-60,1,0.0,0
1993-12-10,Female,Port Jasonville,Monthly,Visa,Manual,Regular,Clothing,Drama,Smartphone,Low,3.8,10,365 days,31,26-35,0,0.0,2
1942-08-03,Male,Port Nicholas,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,4.1,10,365 days,82,61+,0,,2
1994-12-11,Female,Michaelberg,Annual,Visa,Manual,Regular,Electronics,Comedy,Smartphone,Low,3.4,6,365 days,30,26-35,0,0.0,1
1933-10-12,Male,Martinezfort,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Smart TV,Low,3.3,3,365 days,91,61+,0,1.0,2
1940-05-03,Male,West Connorport,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9,365 days,84,61+,2,1.0,1
1938-12-01,Female,Carsonhaven,Annual,Visa,Auto-renew,Regular,Electronics,Romance,Smartphone,High,3.1,5,365 days,86,61+,2,0.0,1
1992-05-05,Female,Troytown,Monthly,Amex,Auto-renew,Occasional,Books,Action,Smart TV,High,3.2,4,365 days,32,26-35,2,,0
1972-07-11,Female,Langton,Annual,Amex,Manual,Occasional,Clothing,Horror,Smartphone,Medium,3.0,1,365 days,52,46-55,1,,2
1948-06-13,Female,Charlesfurt,Annual,Visa,Manual,Frequent,Books,Action,Smart TV,Low,3.9,3,365 days,76,61+,0,1.0,0
1974-03-16,Female,Lake Stephanieside,Annual,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,Low,4.8,4,365 days,50,46-55,0,1.0,0
1990-04-27,Male,Melissamouth,Monthly,Amex,Manual,Regular,Books,Romance,Smart TV,Low,4.4,2,365 days,34,26-35,0,0.0,0
1984-03-24,Male,Amyborough,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,4.0,2,365 days,40,36-45,0,1.0,1
1951-11-13,Female,North Michelleburgh,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.7,3,365 days,73,61+,1,0.0,1
1937-08-15,Male,Harryland,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,High,3.4,9,365 days,87,61+,2,,0
1991-06-20,Male,Lindseyland,Monthly,Amex,Manual,Frequent,Books,Comedy,Tablet,Medium,4.2,2,365 days,33,26-35,1,1.0,0
1945-02-21,Male,Kevinchester,Annual,Mastercard,Manual,Occasional,Books,Drama,Tablet,Medium,3.9,3,365 days,79,61+,1,,0
1981-03-04,Female,North Melissaville,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,High,3.9,4,365 days,43,36-45,2,1.0,2
1958-12-15,Female,Justinchester,Annual,Mastercard,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.6,6,365 days,66,61+,2,1.0,2
1963-11-06,Female,Lake Barryland,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,3.2,9,365 days,61,61+,1,0.0,2
1958-05-05,Female,New Teresaburgh,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.7,3,365 days,66,61+,2,0.0,1
1979-08-27,Male,South Katieburgh,Annual,Visa,Manual,Regular,Books,Documentary,Tablet,High,4.7,4,365 days,45,46-55,2,0.0,0
1967-12-20,Male,East Shannonhaven,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Smart TV,Medium,4.7,7,365 days,57,56-60,1,,2
1950-01-15,Female,West Nathanielton,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.5,5,365 days,74,61+,0,0.0,0
1956-09-20,Male,North Kristenbury,Monthly,Amex,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Low,4.7,1,365 days,68,61+,0,1.0,2
2003-03-12,Female,Dicksonmouth,Annual,Amex,Manual,Regular,Books,Sci-Fi,Tablet,Low,3.5,3,365 days,21,18-25,0,0.0,0
1990-11-27,Male,Bennettmouth,Annual,Amex,Manual,Occasional,Electronics,Horror,Tablet,Low,3.0,2,365 days,34,26-35,0,,1
1998-03-27,Male,New Markview,Annual,Amex,Manual,Occasional,Clothing,Action,Smart TV,High,3.1,8,365 days,26,26-35,2,,2
1958-05-09,Male,West Robinborough,Monthly,Amex,Manual,Frequent,Books,Drama,Smart TV,Low,3.3,0,365 days,66,61+,0,1.0,0
1973-10-14,Male,West Robert,Annual,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smartphone,High,3.4,10,365 days,51,46-55,2,,1
1949-02-23,Female,South Amy,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.3,7,365 days,75,61+,0,1.0,2
1944-07-10,Female,East Mark,Monthly,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,3.2,7,365 days,80,61+,1,0.0,2
1974-02-15,Male,Leeshire,Annual,Visa,Auto-renew,Occasional,Clothing,Horror,Tablet,Medium,3.2,2,365 days,50,46-55,1,,2
1982-01-12,Male,West Joan,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.9,0,365 days,42,36-45,1,,2
1953-10-24,Male,Johnton,Annual,Amex,Manual,Regular,Electronics,Drama,Smartphone,High,3.4,7,365 days,71,61+,2,0.0,1
1982-05-29,Female,Clarkville,Annual,Visa,Manual,Frequent,Clothing,Horror,Tablet,Medium,4.1,2,365 days,42,36-45,1,1.0,2
1989-01-13,Male,Collinsmouth,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smart TV,Medium,4.9,3,365 days,35,36-45,1,1.0,2
1967-12-01,Male,South Sharonhaven,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9,365 days,57,56-60,2,1.0,0
1981-08-03,Female,New Robert,Monthly,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Medium,4.4,4,365 days,43,36-45,1,,2
1980-07-20,Female,Wellsstad,Monthly,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,3.8,3,365 days,44,36-45,0,0.0,2
1979-02-15,Female,Sullivantown,Annual,Mastercard,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.5,6,365 days,45,46-55,0,1.0,2
1945-02-08,Female,Hortonview,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.6,0,365 days,79,61+,2,0.0,1
1937-10-13,Female,Johnsonmouth,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,4.5,7,365 days,87,61+,1,0.0,0
1990-09-22,Female,North Margaret,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.1,3,365 days,34,26-35,2,1.0,1
1991-11-03,Male,East Charlotte,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,High,4.2,2,365 days,33,26-35,2,1.0,0
1968-06-19,Male,Alisonfort,Monthly,Visa,Manual,Occasional,Electronics,Romance,Smartphone,Low,3.3,7,365 days,56,56-60,0,,1
1936-03-11,Female,Brandifurt,Annual,Amex,Auto-renew,Regular,Books,Drama,Smart TV,High,3.2,2,365 days,88,61+,2,0.0,0
1947-05-19,Male,Garciaview,Annual,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,Low,4.7,8,365 days,77,61+,0,0.0,1
1990-06-24,Male,Byrdside,Annual,Visa,Manual,Frequent,Electronics,Drama,Tablet,Medium,4.6,2,365 days,34,26-35,1,1.0,1
1985-05-09,Male,New Cherylhaven,Annual,Visa,Manual,Regular,Electronics,Horror,Tablet,Low,4.9,7,365 days,39,36-45,0,0.0,1
2005-07-10,Female,East Christophertown,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smart TV,Low,3.2,10,365 days,19,18-25,0,1.0,2
1985-06-19,Male,Lake Jacobport,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.4,9,365 days,39,36-45,1,1.0,1
1991-10-05,Male,Michaelmouth,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Tablet,High,4.6,6,365 days,33,26-35,2,0.0,1
1953-09-28,Female,Lake Amystad,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Tablet,Medium,4.4,3,365 days,71,61+,1,,1
1972-02-04,Male,Lunahaven,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,Smart TV,High,3.1,10,365 days,52,46-55,2,,2
1969-08-15,Female,Port Deanland,Annual,Amex,Manual,Occasional,Electronics,Comedy,Tablet,Medium,3.4,1,365 days,55,56-60,1,,1
1947-08-17,Male,East Lawrenceburgh,Monthly,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,4.9,3,365 days,77,61+,1,,2
1986-02-23,Female,Nicholashaven,Monthly,Visa,Auto-renew,Frequent,Electronics,Horror,Smart TV,Medium,4.5,6,365 days,38,36-45,1,1.0,1
2004-06-18,Male,Nicholasburgh,Monthly,Mastercard,Auto-renew,Frequent,Books,Documentary,Smart TV,Medium,4.3,7,365 days,20,18-25,1,1.0,0
1964-01-01,Female,Adamfort,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Smart TV,High,3.5,2,365 days,60,61+,2,,1
1954-03-08,Male,Brianview,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smart TV,Low,3.5,4,365 days,70,61+,0,1.0,1
1958-12-03,Female,South Dave,Annual,Amex,Manual,Occasional,Electronics,Documentary,Tablet,Medium,3.0,4,365 days,66,61+,1,,1
1991-05-06,Female,East Mary,Annual,Mastercard,Manual,Occasional,Electronics,Documentary,Tablet,Medium,4.6,9,365 days,33,26-35,1,,1
1974-12-28,Male,Maryside,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Tablet,High,3.8,5,365 days,50,46-55,2,1.0,2
2003-12-29,Male,Carlbury,Annual,Mastercard,Manual,Regular,Clothing,Action,Tablet,Low,4.9,0,365 days,21,18-25,0,0.0,2
1950-04-10,Female,East Jameschester,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Tablet,High,3.7,3,365 days,74,61+,2,,2
1938-03-29,Female,Myersburgh,Annual,Visa,Manual,Occasional,Books,Romance,Smartphone,Medium,4.6,1,365 days,86,61+,1,,0
1995-12-15,Male,Cunninghamchester,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Tablet,Medium,4.5,7,365 days,29,26-35,1,1.0,1
1947-05-08,Male,Jacksonburgh,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smartphone,Medium,4.2,1,365 days,77,61+,1,1.0,2
1981-03-25,Male,Collinschester,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Smart TV,Medium,4.4,0,365 days,43,36-45,1,,0
1992-08-13,Male,South Triciaburgh,Monthly,Amex,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Low,4.2,4,365 days,32,26-35,0,,1
1980-06-26,Male,West Jennifer,Monthly,Visa,Manual,Regular,Books,Horror,Smart TV,Low,4.3,0,365 days,44,36-45,0,0.0,0
1971-11-12,Male,West Paulaport,Annual,Visa,Auto-renew,Frequent,Electronics,Documentary,Smart TV,Medium,4.2,8,365 days,53,46-55,1,1.0,1
1995-03-24,Female,Rodriguezshire,Annual,Amex,Manual,Occasional,Electronics,Horror,Smartphone,High,3.9,7,365 days,29,26-35,2,,1
1988-11-29,Male,South Kristentown,Annual,Visa,Manual,Frequent,Books,Drama,Smart TV,High,4.8,5,365 days,36,36-45,2,1.0,0
1985-01-26,Female,North Sherryshire,Annual,Visa,Manual,Frequent,Clothing,Documentary,Smartphone,High,3.3,9,365 days,39,36-45,2,1.0,2
1990-08-09,Female,East Stevenfort,Monthly,Mastercard,Manual,Frequent,Books,Horror,Tablet,High,3.7,9,365 days,34,26-35,2,1.0,0
1948-06-24,Male,Robertbury,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Documentary,Tablet,Medium,4.3,0,365 days,76,61+,1,1.0,1
2000-06-08,Male,North Misty,Monthly,Mastercard,Auto-renew,Regular,Books,Horror,Smart TV,High,4.6,5,365 days,24,18-25,2,0.0,0
1989-02-10,Male,Lake Phillip,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Smartphone,Medium,4.1,5,365 days,35,36-45,1,,0
1977-08-18,Male,Calebstad,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smartphone,High,4.5,7,365 days,47,46-55,2,1.0,2
1982-10-07,Male,Philipshire,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Documentary,Tablet,Medium,4.4,9,365 days,42,36-45,1,1.0,1
1973-09-15,Female,Port Anthony,Monthly,Mastercard,Auto-renew,Occasional,Books,Horror,Tablet,High,4.8,2,365 days,51,46-55,2,,0
1934-10-16,Female,East Johnland,Monthly,Visa,Auto-renew,Regular,Electronics,Sci-Fi,Smart TV,Medium,3.8,9,365 days,90,61+,1,0.0,1
1992-11-30,Female,West Kennethchester,Monthly,Amex,Auto-renew,Regular,Clothing,Romance,Smart TV,Low,3.1,4,365 days,32,26-35,0,0.0,2
1965-08-21,Male,South Scottview,Annual,Visa,Auto-renew,Occasional,Books,Romance,Tablet,Medium,4.0,10,365 days,59,56-60,1,,0
1986-06-10,Male,Port Mariahton,Monthly,Visa,Auto-renew,Regular,Clothing,Comedy,Tablet,Medium,3.4,0,365 days,38,36-45,1,0.0,2
2001-10-18,Female,Mortonmouth,Monthly,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Low,3.8,1,365 days,23,18-25,0,0.0,2
1953-01-02,Male,Fowlerborough,Annual,Amex,Manual,Occasional,Electronics,Romance,Smart TV,Medium,3.3,7,365 days,71,61+,1,,1
1983-01-27,Female,North Benjamin,Monthly,Visa,Manual,Frequent,Clothing,Comedy,Tablet,Low,4.3,3,365 days,41,36-45,0,1.0,2
1941-01-15,Male,New Shannonmouth,Monthly,Mastercard,Manual,Frequent,Books,Comedy,Smartphone,Low,3.3,2,365 days,83,61+,0,1.0,0
1976-05-22,Female,Port Tracyville,Annual,Visa,Manual,Frequent,Clothing,Comedy,Tablet,Low,4.8,2,365 days,48,46-55,0,1.0,2
1969-10-22,Male,Lake Joshua,Annual,Amex,Manual,Occasional,Books,Sci-Fi,Smartphone,Low,3.9,1,365 days,55,56-60,0,,0
1976-12-11,Male,Andrewview,Annual,Mastercard,Auto-renew,Frequent,Books,Action,Tablet,Medium,3.3,10,365 days,48,46-55,1,1.0,0
1944-05-08,Male,Gibsonburgh,Monthly,Amex,Auto-renew,Frequent,Clothing,Romance,Tablet,Medium,3.8,8,365 days,80,61+,1,1.0,2
1964-09-15,Female,Lake Jorgemouth,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,Medium,4.7,9,365 days,60,61+,1,,1
1970-07-30,Male,Cortezborough,Monthly,Visa,Manual,Regular,Clothing,Horror,Smartphone,Medium,3.7,5,365 days,54,46-55,1,0.0,2
1988-10-10,Female,East Michaelmouth,Annual,Mastercard,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Low,4.2,0,365 days,36,36-45,0,,2
1950-04-06,Female,East Erin,Annual,Visa,Manual,Occasional,Electronics,Drama,Tablet,Medium,4.8,7,365 days,74,61+,1,,1
1986-07-07,Female,Lake Codymouth,Monthly,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,High,3.3,8,365 days,38,36-45,2,1.0,0
1972-03-06,Female,Michaelaport,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Romance,Smartphone,High,3.4,0,365 days,52,46-55,2,,1
1990-06-20,Male,Lake Bobby,Monthly,Mastercard,Manual,Regular,Clothing,Horror,Tablet,High,3.2,1,365 days,34,26-35,2,0.0,2
